"node","type"
"Spike",0
"orf9c",0
"orf9b",0
"orf8",0
"orf7a",0
"orf6",0
"orf3b",0
"orf3a",0
"orf10",0
"nsp9",0
"nsp8",0
"nsp7",0
"nsp6",0
"nsp5",0
"nsp5_C145A",0
"nsp4",0
"nsp2",0
"nsp15",0
"nsp14",0
"nsp13",0
"nsp12",0
"nsp11",0
"nsp10",0
"nsp1",0
"N",0
"M",0
"E",0
"ZDHHC5",2
"GOLGA7",2
"NDUFB9",2
"TMED5",2
"NDUFAF1",2
"BCS1L",2
"NDFIP2",2
"ACAD9",2
"GHITM",2
"TMEM39B",2
"ALG8",2
"ECSIT",2
"FAR2",2
"PIGO",2
"FAM134C",1
"NLRX1",2
"ERMP1",2
"TAPT1",2
"SLC30A6",2
"TMEM97",2
"DPY19L1",2
"SCAP",2
"F2RL1",2
"ABCC1",2
"WFS1",2
"GPAA1",2
"UBXN8",2
"BAG5",2
"PTBP2",2
"MARK1",2
"DCTPP1",2
"DPH5",2
"MARK2",2
"MARK3",2
"TOMM70A",2
"CSDE1",1
"CHMP2A",2
"SLC9A3R1",2
"FKBP7",2
"HYOU1",2
"ADAMTS1",2
"CHPF2",2
"UGGT2",2
"FBXL12",2
"PLEKHF2",2
"SMOC1",2
"POFUT1",2
"SIL1",2
"EDEM3",2
"ERP44",2
"TM2D3",2
"GDF15",2
"NEU1",2
"SDF2",2
"HS6ST2",2
"NGLY1",2
"IL17RA",2
"ERLEC1",1
"GGH",2
"EMC1",2
"PUSL1",2
"CHPF",2
"FOXRED2",2
"PLD3",2
"ERO1LB",2
"KDELC2",2
"KDELC1",2
"NPTX1",2
"OS9",2
"MFGE8",2
"NPC2",2
"INHBE",2
"PCSK6",2
"LOX",2
"DNMT1",1
"PVR",1
"COL6A1",2
"CISD3",2
"ITGB1",1
"PLAT",2
"STC2",2
"TOR1A",2
"PLOD2",2
"MDN1",2
"HEATR3",2
"KIAA0368",2
"MTCH1",2
"RAE1",2
"NUP98",2
"STOML2",2
"ALG5",2
"SUN2",2
"VPS11",2
"CLCC1",2
"VPS39",2
"ARL6IP6",2
"TRIM59",2
"HMOX1",1
"TIMM8B",2
"ZYG11B",2
"THTPA",2
"MAP7D1",2
"CUL2",2
"PPT1",2
"FBLN5",2
"MAT2B",2
"NUPL1",2
"NUP88",2
"ZNF503",2
"NEK9",2
"SPG20",2
"MIB1",2
"NUP54",2
"EIF4H",2
"DCAF7",1
"NUP62",2
"NUP214",2
"FBN2",2
"FBN1",2
"GTF2F2",2
"TK2",2
"MRPS2",2
"HECTD1",2
"AATF",2
"EXOSC3",2
"EXOSC5",2
"SEPSECS",2
"CCDC86",2
"NOL10",2
"NARS2",2
"EXOSC8",2
"NGDN",2
"MEPCE",2
"LARP7",1
"DDX10",2
"MRPS25",2
"SRP54",2
"SRP19",2
"WHSC1",2
"ATE1",2
"SRP72",2
"MPHOSPH10",2
"OCIAD1",2
"RAB18",2
"PTGES2",2
"VIMP",2
"DNAJC19",2
"FAM162A",2
"DCAKD",2
"NAT14",2
"SCARB1",2
"SCCPDH",2
"NDUFAF2",2
"HS2ST1",2
"QSOX2",2
"LETMD1",2
"MARC1",2
"TOR1AIP1",2
"MOGS",1
"LMAN2",2
"GNG5",2
"GNB1",2
"RAB1A",2
"RHOA",2
"RAB14",2
"RAB10",2
"RAB2A",2
"RAB8A",2
"RAB7A",2
"RAB5C",2
"COMT",2
"RALA",2
"CYB5R3",2
"ACSL3",2
"CYB5B",2
"AGPS",2
"ATP13A3",2
"SLC6A15",2
"SIGMAR1",2
"ATP6AP1",2
"ATP5I",2
"ATP5L",2
"HDAC2",2
"TRMT1",2
"GPX1",2
"TIMM9",2
"TIMM10B",2
"DNAJC11",2
"NUP210",2
"TCTN3",2
"ALG11",2
"TIMM10",2
"IDE",2
"GIGYF2",2
"FKBP15",2
"KIAA1033",2
"RAP1GDS1",2
"POR",2
"EIF4E2",2
"SLC27A2",2
"RNF41",2
"ARF6",2
"NUTF2",2
"SIRT5",2
"IMPDH2",2
"GLA",2
"NINL",2
"HOOK1",1
"TBK1",2
"CEP250",1
"FYCO1",2
"GORASP1",1
"AKAP9",2
"CDK5RAP2",2
"JAKMIP1",2
"GCC1",2
"USP13",2
"MIPOL1",2
"CEP112",2
"NIN",2
"CLIP4",2
"GCC2",2
"ERC1",2
"CNTRL",2
"CEP68",2
"CEP135",1
"PDE4DIP",1
"CEP350",2
"GRIPAP1",2
"PCM1",2
"GOLGB1",2
"GOLGA2",2
"GOLGA3",1
"AES",2
"TLE3",2
"TLE1",2
"CENPF",2
"RDX",2
"PRKAR2B",2
"PRKACA",2
"PRKAR2A",2
"FGFR1",2
"PCNT",2
"HSBP1",2
"CIT",2
"TBKBP1",2
"PLEKHA5",2
"PPIL3",2
"TCF12",2
"RBM41",2
"CHCHD1",2
"LARP4B",2
"ZC3H7A",2
"USP54",2
"CRTC3",2
"ZNF318",2
"UBAP2",2
"PRRC2B",2
"PDZD11",2
"TYSND1",2
"UBAP2L",2
"RIPK1",2
"SLU7",2
"MYCBP2",2
"AKAP8",2
"BCKDK",2
"SBNO1",2
"TBCA",2
"GRPEL1",2
"AP2M1",2
"ERGIC1",2
"GFER",2
"AP2A2",1
"PKP2",2
"COLGALT1",2
"POLA2",2
"PRIM2",2
"PRIM1",2
"POLA1",2
"G3BP2",2
"MOV10",1
"UPF1",2
"SNIP1",2
"FAM98A",2
"LARP1",2
"PABPC4",2
"G3BP1",2
"CSNK2B",1
"CSNK2A2",1
"PABPC1",2
"RRP9",2
"BZW2",2
"AAR2",2
"AKAP8L",1
"AASS",2
"FAM8A1",2
"RTN4",2
"TARS2",2
"TUBGCP2",2
"SLC25A21",2
"INTS4",2
"REEP6",2
"SAAL1",2
"ADCK4",2
"TUBGCP3",2
"SLC30A7",2
"RHOT2",2
"FASTKD5",2
"SLC30A9",2
"PITRM1",2
"ANO6",2
"PMPCA",2
"REEP5",2
"PSMD8",2
"SLC1A3",2
"ATP6V1A",2
"GGCX",2
"STOM",2
"ETFA",2
"ACADM",1
"ATP1B1",2
"YIF1A",2
"PMPCB",2
"SLC44A2",2
"ZC3H18",2
"CWC27",2
"BRD2",2
"SDHB",2
"BRD4",2
"AP3B1",2
"EXOSC6",2
"ADAR",2
"LCA5",2
"HNRNPU",2
"CDC34",2
"EMD",2
"IKBKG",2
"DCTN1",2
"NDC80",2
"DYNLRB1",2
"NME6",2
"MCM7",2
"ORC3",2
"NR4A1",2
"CCDC85B",2
"MTX2",2
"MAP1B",2
"PSTPIP1",2
"MYBBP1A",2
"AURKAIP1",2
"GIT2",2
"MRPL12",2
"KLHL13",2
"USP15",2
"EVPL",2
"LRRC8B",2
"AURKA",2
"MVP",2
"MED14",2
"PPP2R2A",2
"ARRB1",2
"MIRLET7F2",2
"RBM14",2
"CPSF2",2
"PXN",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ACBD5",2
"ESR2",2
"HDAC10",2
"CEP170",2
"CFTR",2
"HSPD1",2
"HIBCH",2
"FBXO7",2
"ATP4A",2
"C3orf17",2
"FXR1",2
"HNRNPUL2",2
"FSD1",2
"HIST4H4",2
"CDH1",2
"BAG3",2
"MRPS27",2
"SLC6A3",2
"MIR128-2",2
"ILF2",2
"PSMA4",2
"HSPE1",2
"FRMD6",2
"MIRLET7A3",2
"CSNK2A1",2
"BCL7C",2
"DIP2A",2
"DAXX",2
"LEO1",2
"HECW2",2
"EIF2AK2",2
"FBXW11",2
"EIF2B3",2
"APOB",2
"HNRNPR",2
"RNF31",2
"PARP1",2
"JUN",2
"AP2A1",2
"MSRB3",2
"MAP3K7",2
"RC3H1",2
"FAM114A1",2
"LIMA1",2
"RAB30",2
"DCP2",2
"HDLBP",2
"KYNU",2
"IL23A",2
"IL12RB1",2
"AMFR",2
"LINC01587",2
"APOA1",2
"UBC",2
"POLR1B",2
"AKT3",2
"BECN1",2
"MIRLET7C",2
"EEF1A2",2
"HSPA4",2
"PITPNM1",2
"SCFD1",2
"CHD4",2
"RBM23",2
"MED31",2
"PSMB7",2
"FMNL1",2
"RPS6KA2",2
"ASH2L",2
"CCDC47",2
"ANAPC5",2
"PNPT1",2
"FOXL1",2
"CDK1",2
"DSP",2
"MEX3C",2
"PAICS",2
"TMEM17",2
"METAP2",2
"PTPRN",2
"HDAC3",2
"PNPO",2
"HACL1",2
"IZUMO1",2
"KBTBD7",2
"CCNC",2
"ARF1",2
"AP1G1",2
"FUBP1",2
"SNW1",2
"MAPK7",2
"DYNC1I2",2
"MAPKAP1",2
"POU5F1",2
"MTOR",2
"TP53",2
"ATP5A1",2
"BIRC6",2
"BCL2L14",2
"SIKE1",2
"COPS3",2
"CUL5",2
"CCDC8",2
"FOXH1",2
"CCHCR1",2
"PPAN",2
"KCTD12",2
"NHP2L1",2
"CRMP1",2
"DGCR8",2
"PEX19",2
"COPS5",2
"C6orf165",2
"NONO",2
"BMI1",2
"MRPS22",2
"FBXL15",2
"MDM2",2
"DDX5",2
"BRCC3",2
"POLR2A",2
"CD55",2
"ANK2",2
"HERC2",2
"COQ2",2
"A2M",2
"LRPPRC",2
"LMNB1",2
"NCL",2
"DDX56",2
"KLC3",2
"FAM117B",2
"CEP57",2
"CDC42",2
"ACTB",2
"CD83",2
"HSPA9",2
"BCL10",2
"CHD3",2
"EIF2S2",2
"ARHGAP39",2
"CACYBP",2
"PYHIN1",2
"CD81",2
"KIAA0907",2
"RECQL4",2
"SUZ12",2
"MRPL3",2
"BRD1",2
"P4HA3",2
"BYSL",2
"DOCK6",2
"TRAF1",2
"BID",2
"ETV5",2
"GID8",2
"THEM4",2
"COG7",2
"PHF19",2
"PSMA2",2
"GRB2",2
"NDUFS1",2
"BCL9L",2
"ACBD3",2
"SMAD7",2
"FGF3",2
"SAR1A",2
"MIS18BP1",2
"CDK2",2
"LCK",2
"SPOP",2
"CLPTM1L",2
"ABCC5",2
"VRK2",2
"APEX1",2
"MDC1",2
"LENG1",2
"BHLHA15",2
"CAT",2
"RFWD3",2
"FGF8",2
"CLASRP",2
"RPL27",2
"SNRPD2",2
"SNRPD3",2
"ACAT1",2
"MAD2L2",2
"PQBP1",2
"VCP",2
"LASP1",2
"ABCB7",2
"AHCYL1",2
"SIAH1",2
"PCBP1",2
"BMP1",2
"RRS1",2
"CCDC57",2
"EGR2",2
"HSP90AA1",2
"HIST1H4F",2
"NDUFS3",2
"TNFRSF1A",2
"DDX39B",2
"PFKM",2
"KRTAP10-3",2
"FOPNL",2
"C14orf166",2
"MAPRE1",2
"THADA",2
"EGLN3",2
"HSD17B10",2
"CEP120",2
"AHR",2
"CEP63",2
"GOLGA5",2
"EMG1",2
"ING1",2
"IPO8",2
"DENND4A",2
"HSPA8",2
"MPV17",2
"ACTA1",2
"EVL",2
"OBSL1",2
