"node","type"
"337042.VE7_HPV18",0
"337042.VE5_HPV18",0
"337042.VE6_HPV18",0
"CSNK2A3",2
"CTCF",2
"TP53",2
"HDAC9",2
"CYLD",2
"ELAVL1",2
"EPHA2",2
"GLTSCR2",2
"HDAC5",2
"POLK",2
"EGFR",2
"CDK7",2
"PDCD4",2
"LARP7",2
"BAK1",2
"KRT18",2
"CDK6",2
"MOV10",2
"DDX50",2
"PSMA6",2
"GPSM3",2
"PSMA5",2
"HRAS",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"CUL4A",2
"HNRNPA1",2
"CRK",2
"CCNA1",2
"CCNA2",2
"DNMT1",2
"BAG2",2
"CEP135",2
"EP300",2
"SUMO1",2
"TUBA1C",2
"GRWD1",2
"ESR1",2
"CSNK2A2",2
"CSNK2B",2
"EP400",2
"HSP90B1",2
"CCT7",2
"KRAS",2
"NCOR2",2
"PAN2",2
"DDB1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"EIF5B",2
"KIAA1429",2
"CUL7",2
"CITED2",2
"APP",2
"HSPA5",2
"DAB2IP",2
"HUS1",2
"EIF3E",2
"H2AFX",2
"GPS2",2
"BRCA2",2
"NPRL3",2
"NR0B2",2
"HNRNPM",2
"EWSR1",2
"DACH1",2
"BRCA1",2
"RPL21",2
"CHUK",2
"HIST1H4A",2
"RNF2",2
"HIF1A",2
"ANXA2",2
"APPL1",2
"TPM3",2
"HMOX1",2
"SF3B2",2
"MOGS",2
"CAV1",2
"MED21",2
"RPL23A",2
"CEBPB",2
"RPL13A",2
"LMNA",2
"PSMC6",2
"RNF4",2
"PPARG",2
"HDAC1",2
"ALDH18A1",2
"CDK9",2
"CENPA",2
"FAM175B",2
"ITCH",2
"CNOT1",2
"CA9",2
"DCAF7",2
"SESN2",2
"PHF12",2
"ADAR",2
"HNRNPU",2
"NR4A1",2
"MYBBP1A",2
"AURKAIP1",2
"USP15",2
"AURKA",2
"MVP",2
"RBM14",2
"ID4",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ESR2",2
"HDAC10",2
"CFTR",2
"HSPD1",2
"HIST4H4",2
"CDH1",2
"MRPS27",2
"PSMA4",2
"CSNK2A1",2
"DAXX",2
"HECW2",2
"ERCC1",2
"EIF2AK2",2
"FOXJ3",2
"FBXW11",2
"PARP1",2
"JUN",2
"LIMA1",2
"MAP2K5",2
"HDLBP",2
"UBC",2
"AKT3",2
"BECN1",2
"HSPA4",2
"CHD4",2
"PSMB7",2
"RPS6KA2",2
"ASH2L",2
"CDK1",2
"HDAC3",2
"SNW1",2
"MAPK7",2
"POU5F1",2
"MTOR",2
"ATP5A1",2
"BIRC6",2
"BCL2L14",2
"CCDC8",2
"BNIP3",2
"DGCR8",2
"COPS5",2
"NONO",2
"BMI1",2
"MRPS22",2
"MDM2",2
"DDX5",2
"BRCC3",2
"POLR2A",2
"ANK2",2
"HERC2",2
"LRPPRC",2
"NCL",2
"CDC42",2
"ACTB",2
"HSPA9",2
"CHD3",2
"EIF2S2",2
"PSMD8",2
"PYHIN1",2
"SUZ12",2
"BRD1",2
"BID",2
"PSMA2",2
"SMAD7",2
"CDK2",2
"VRK2",2
"APEX1",2
"MDC1",2
"RFWD3",2
"RPL27",2
"SNRPD3",2
"VCP",2
"PCBP1",2
"BMP1",2
"HSP90AA1",2
"EGLN3",2
"CEP120",2
"ING1",2
"HSPA8",2
"OBSL1",2
"EXOSC7",2
"ABR",2
"HNRNPA0",2
"CDC14B",2
"BARD1",2
"PRKDC",2
"PSMB5",2
"RPL7A",2
"IKBKB",2
"PSMB1",2
"RFC4",2
"PSMC2",2
"E2F1",2
"RPL7",2
"MYL6",2
"PCNA",2
"RPS19",2
"CLTC",2
"BTRC",2
"LBR",2
"SMAD2",2
"CASP3",2
"CHEK1",2
"RPS13",2
"CCT5",2
"E2F4",2
"DDB2",2
"SLAMF1",2
"MRPL41",2
"HIST1H1A",2
"NQO1",2
"NMT1",2
"RXRA",2
"ACTL6A",2
"CBX5",2
"HNRNPA2B1",2
"CBLC",2
