"V1","V2"
"VEGFB","TOR4A"
"FCRLA","VPREB3"
"VTI1B","TOR4A"
"VTI1B","VEGFB"
"RGMB","ZFYVE16"
"HFE2","ZFYVE16"
"HFE2","RGMB"
"MUC5AC","ST6GALNAC2"
"IGHV3-11","VPREB3"
"XIAP","RGMB"
"XIAP","HFE2"
"IL37","PTPN20A"
"ZFYVE9","ZFYVE16"
"ZFYVE9","SVEP1"
"VAV2","IGHV3-11"
"USP4","XIAP"
"VEGFC","TOR4A"
"VEGFC","VEGFB"
"VEGFC","VTI1B"
"INHBA","INHBB"
"ZEB1","ZMIZ1"
"WWP1","NKX3-2"
"VCPIP1","VAV2"
"VCPIP1","ZEB1"
"VASN","UFSP2"
"WHSC1L1","ZNF557"
"SERPING1","TOR4A"
"SERPING1","VEGFB"
"SERPING1","VTI1B"
"SERPING1","IGHV3-11"
"SERPING1","VEGFC"
"THBS1","TOR4A"
"THBS1","VEGFB"
"THBS1","VTI1B"
"THBS1","VEGFC"
"THBS1","SERPING1"
"XPO4","XPO6"
"XPO4","VASN"
"ORM2","TOR4A"
"ORM2","VEGFB"
"ORM2","VTI1B"
"ORM2","VEGFC"
"ORM2","PRTN3"
"ORM2","SERPING1"
"ORM2","THBS1"
"IL6","IL37"
"IL6","VEGFC"
"IL6","TYK2"
"UHRF2","YY1"
"RARB","YY1"
"TGFB2","TOR4A"
"TGFB2","VEGFB"
"TGFB2","VTI1B"
"TGFB2","TGFBR3"
"TGFB2","ASPN"
"TGFB2","VEGFC"
"TGFB2","PZP"
"TGFB2","VASN"
"TGFB2","FMOD"
"TGFB2","SERPING1"
"TGFB2","THBS1"
"TGFB2","ORM2"
"ACVR1C","MSTN"
"ACVR1C","INHBB"
"ACVR1C","CFC1"
"ACVR1C","INHBA"
"LTBP3","TGFB2"
"CD34","IL6"
"TGIF2","TGIF1"
"CFD","TOR4A"
"CFD","VEGFB"
"CFD","VTI1B"
"CFD","VEGFC"
"CFD","SERPING1"
"CFD","THBS1"
"CFD","ORM2"
"CFD","TGFB2"
"PTPN18","IL37"
"EBI3","TYK2"
"FAM49B","TOR4A"
"FAM49B","VEGFB"
"FAM49B","VTI1B"
"FAM49B","VEGFC"
"FAM49B","SERPING1"
"FAM49B","THBS1"
"FAM49B","ORM2"
"FAM49B","TGFB2"
"FAM49B","CFD"
"IFNG","IL6"
"FIGF","TOR4A"
"FIGF","VEGFB"
"FIGF","VTI1B"
"FIGF","VEGFC"
"FIGF","SERPING1"
"FIGF","THBS1"
"FIGF","ORM2"
"FIGF","TGFB2"
"FIGF","CFD"
"FIGF","FAM49B"
"THOC5","XPO4"
"ORM1","TOR4A"
"ORM1","VEGFB"
"ORM1","VTI1B"
"ORM1","VEGFC"
"ORM1","SERPING1"
"ORM1","THBS1"
"ORM1","ORM2"
"ORM1","TGFB2"
"ORM1","CFD"
"ORM1","FAM49B"
"ORM1","FIGF"
"STAMBP","VTI1B"
"PIK3CD","IGHV3-11"
"SOX13","TCF7L1"
"SOX13","SOX5"
"POU2AF1","PAX5"
"VWF","TOR4A"
"VWF","VEGFB"
"VWF","VTI1B"
"VWF","VEGFC"
"VWF","SERPING1"
"VWF","THBS1"
"VWF","ORM2"
"VWF","TGFB2"
"VWF","CD34"
"VWF","CFD"
"VWF","FAM49B"
"VWF","FIGF"
"VWF","ORM1"
"GDF11","ACVR1C"
"PPBP","TOR4A"
"PPBP","VEGFB"
"PPBP","VTI1B"
"PPBP","VEGFC"
"PPBP","SERPING1"
"PPBP","THBS1"
"PPBP","ORM2"
"PPBP","IL6"
"PPBP","TGFB2"
"PPBP","CFD"
"PPBP","FAM49B"
"PPBP","FIGF"
"PPBP","ORM1"
"PPBP","VWF"
